Itaipé;8240302,57
Itajubá;40202571,57
Itamarandiba;16425256,47
Itamarati de Minas;3354647,42
Itambacuri;12228749,35
Itambé do Mato Dentro;1209800,91
Itamogi;5339966,51
Itamonte;8585525,43
Itanhandu;6439400,33
Itanhomi;6350076,76
Itaobim;9345856,45
Itapagipe;7874718,29
Itapecerica;6296014,13
Itapeva;7566515,95
Itatiaiuçu;15689247,06
Itaverava;2781069,14
Itaú de Minas;12053321,53
Itaúna;36532742,63
Itinga;8106000,29
Itueta;3810208,88
Ituiutaba;45367160,98
Itumirim;2775769,16
Iturama;24631070,90
Itutinga;2993310,69
Jaboticatubas;8864112,01
Jacinto;6777236,25
Jacutinga;14992483,65
Jacuí;4174235,06
Jaguaraçu;2183713,23
Jampruca;2430714,55
Janaúba;31800480,58
Januária;23324904,38
Japaraíba;2695777,32
Japonvar;4335778,11
Jaíba;15227927,55
Jeceaba;7862395,44
Jenipapo de Minas;4408953,64
Jequeri;5560497,92
Jequitaí;4485559,91
Jequitibá;3273743,33
Jequitinhonha;9830645,14
Jesuânia;3213689,27
Joanésia;2924218,25
Joaquim Felício;3832746,30
Joaíma;8877125,41
Jordânia;3959740,80
Josenópolis;3773914,62
José Gonçalves de Minas;3260187,41
José Raydan;3062094,41
João Monlevade;38902548,13
João Pinheiro;19961776,05
Juatuba;27206423,92
Juiz de Fora;262472859,22
Juramento;2846161,22
Juruaia;5309922,96
Juvenília;4005239,87
Ladainha;9668184,92
Lagamar;3509928,55
Lagoa Dourada;8961506,73
Lagoa Formosa;7572673,19
Lagoa Grande;5227811,75
Lagoa Santa;43427127,66
Lagoa da Prata;15546386,24
Lagoa dos Patos;2804948,85
Lajinha;9189092,36
Lambari;7576342,34
Lamim;2825532,91
Laranjal;3903323,01
Lassance;4315147,59
Lavras;49972290,19
Leandro Ferreira;1216908,32
Leme do Prado;4489984,29
Leopoldina;20097914,42
Liberdade;2560888,92
Lima Duarte;6832943,74
Limeira do Oeste;5802445,43
Lontra;4992629,07
Luisburgo;3272956,90
Luislândia;3479284,21
Luminárias;2403684,25
Luz;8130045,05
Machacalis;3376805,46
Machado;16746830,52
Madre de Deus de Minas;2379194,85
Malacacheta;7974039,62
Mamonas;2968679,57
Manga;13088514,18
Manhuaçu;31786190,86
Manhumirim;11931494,87
Mantena;14988057,31
Mar de Espanha;4667713,42
Maravilhas;4894395,33
Maria da Fé;9174305,51
Mariana;70508283,77
Marilac;3455589,15
Maripá de Minas;2693114,66
Marliéria;2953351,58
Marmelópolis;2439689,78
Martinho Campos;7738986,78
Martins Soares;5343911,49
Mata Verde;4891153,26
Materlândia;3483375,60
Mateus Leme;13644721,47
Mathias Lobato;3096220,60
Matias Barbosa;8755705,96
Matias Cardoso;6703077,34
Matipó;7868160,66
Mato Verde;4778570,97
Matozinhos;16129986,50
Matutina;2694262,54
Medeiros;4008842,76
Medina;7504194,75
Mendes Pimentel;2998436,39
Mercês;4895543,05
Mesquita;3481148,78
Minas Novas;14039264,63
Minduri;2493209,94
